"lfdnr";"lfdnr2";"Finanzposition";"Bezeichnung";"EinAus";"Teilabschnitt";"RQ";"FG";"SN";"AOB";"AnfZahlungsrueckstand";"LaufendesSoll";"GesamtSoll";"Ist";"SchliesslicheRueckstaende";"Voranschlag";"NachtragsVoranschlage";"GesamtVoranschlag";"UnterschiedLFDSollGesamtVAGuenstiger";"UnterschiedLFDSollGesamtVAUnguenstiger";"zahl";"pol1";"pol2";"pol3";"pol4";"pol5";"eco1";"eco2";"eco3";"eco4";"eco5";"eco6";"polAgg3";"ecoAgg3";"polAgg5";"ecoAgg6";"year"
"9353";9353;"6.78900.346000";"INVESTITIONSDARLEHEN VON KREDITINSTITUTEN";"EINNAHME";78900;55;9;"D";"0800";"          0.00";"     373754.48";"     373754.48";"     373754.48";"          0.00";"     550000.00";"     202300.00";"     752300.00";"          0.00";"     378545.52-";"6";"7";"8";"9";"0";"0";"3";"4";"6";"0";"0";"0";"789";"346";"78900";"346000";"2011"
"9354";9354;"6.78900.861001";"LFD.TRANSFERZ. VON LÄNDERN, LANDESFONDS U. -KAMMER";"EINNAHME";78900;15;1;"D";"1500";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"      30000.00";"          0.00";"      30000.00";"          0.00";"      30000.00-";"6";"7";"8";"9";"0";"0";"8";"6";"1";"0";"0";"1";"789";"861";"78900";"861001";"2011"
"9355";9355;"6.78900.889100";"KAP.TRANSFERZAHLUNGEN VON DER EUROPÄISCHEN UNION URBAN PLUS - KOOPERATION";"EINNAHME";78900;33;1;"D";"1500";"          0.00";"       9000.00";"       9000.00";"          0.00";"       9000.00";"          0.00";"      66000.00";"      66000.00";"          0.00";"      57000.00-";"6";"7";"8";"9";"0";"0";"8";"8";"9";"1";"0";"0";"789";"889";"78900";"889100";"2011"
"9356";9356;"6.78900.889700";"KAP.TRANSFERZAHLUNGEN VON DER EUROPÄISCHEN UNION";"EINNAHME";78900;33;1;"D";"1500";"     294953.48";"      92468.81";"     387422.29";"      92622.29";"     294800.00";"          0.00";"          0.00";"          0.00";"      92468.81-";"          0.00";"6";"7";"8";"9";"0";"0";"8";"8";"9";"7";"0";"0";"789";"889";"78900";"889700";"2011"
"9357";9357;"6.78906.889000";"KAP.TRANSFERZAHLUNGEN VON DER EUROPÄISCHEN UNION GRÜNDUNGSPAKET UND ECO&CO";"EINNAHME";78906;33;1;"D";"BD00";"       3904.66";"          0.00";"       3904.66";"       3904.66";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"7";"8";"9";"0";"6";"8";"8";"9";"0";"0";"0";"789";"889";"78906";"889000";"2011"
"9358";9358;"6.78920.298102";"RÜCKLAGEN ENTNAHME AUSGLEICHSRÜCKLAGE";"EINNAHME";78920;51;9;"D";"0800";"     380000.00";"          0.00";"     380000.00";"     380000.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"7";"8";"9";"2";"0";"2";"9";"8";"1";"0";"2";"789";"298";"78920";"298102";"2011"
"9359";9359;"6.78920.346000";"INVESTITIONSDARLEHEN VON KREDITINSTITUTEN";"EINNAHME";78920;55;9;"D";"0800";"          0.00";"     349593.90";"     349593.90";"     349593.90";"          0.00";"     350000.00";"          0.00";"     350000.00";"          0.00";"        406.10-";"6";"7";"8";"9";"2";"0";"3";"4";"6";"0";"0";"0";"789";"346";"78920";"346000";"2011"
"9360";9360;"6.78920.828000";"RÜCKERSÄTZE VON AUSGABEN";"EINNAHME";78920;18;5;"D";"1500";"          0.00";"        406.10";"        406.10";"        406.10";"          0.00";"          0.00";"          0.00";"          0.00";"        406.10-";"          0.00";"6";"7";"8";"9";"2";"0";"8";"2";"8";"0";"0";"0";"789";"828";"78920";"828000";"2011"
"9361";9361;"6.78930.298102";"RÜCKLAGEN ENTNAHME AUSGLEICHSRÜCKLAGE";"EINNAHME";78930;51;9;"D";"0800";"     100000.00";"          0.00";"     100000.00";"     100000.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"7";"8";"9";"3";"0";"2";"9";"8";"1";"0";"2";"789";"298";"78930";"298102";"2011"
"9362";9362;"6.78930.346000";"INVESTITIONSDARLEHEN VON KREDITINSTITUTEN";"EINNAHME";78930;55;9;"D";"0800";"          0.00";"     100000.00";"     100000.00";"     100000.00";"          0.00";"     100000.00";"          0.00";"     100000.00";"          0.00";"          0.00";"6";"7";"8";"9";"3";"0";"3";"4";"6";"0";"0";"0";"789";"346";"78930";"346000";"2011"
